,NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op)
0,1,1,10,10485760,1,1,204800,0.1
1,1,1,10,10485760,1,1,9437184,0.098
2,1,1,10,10485760,1,100,204800,9.917
3,1,1,10,10485760,1,100,9437184,9.821
4,1,1,10,10485760,150,1,204800,14.623
5,1,1,10,10485760,150,1,9437184,14.649000000000001
6,1,1,10,10485760,150,100,204800,247.399
7,1,1,10,10485760,150,100,9437184,405.495
8,1,1,10,1073741824,1,1,204800,0.107
9,1,1,10,1073741824,1,1,9437184,0.105
10,1,1,10,1073741824,1,100,204800,10.69
11,1,1,10,1073741824,1,100,9437184,10.421
12,1,1,10,1073741824,150,1,204800,14.642999999999999
13,1,1,10,1073741824,150,1,9437184,14.624
14,1,1,10,1073741824,150,100,204800,200.608
15,1,1,10,1073741824,150,100,9437184,694.955
16,1,1,500,10485760,1,1,204800,0.027000000000000003
17,1,1,500,10485760,1,1,9437184,0.027000000000000003
18,1,1,500,10485760,1,100,204800,2.846
19,1,1,500,10485760,1,100,9437184,2.9339999999999997
20,1,1,500,10485760,150,1,204800,0.618
21,1,1,500,10485760,150,1,9437184,0.602
22,1,1,500,10485760,150,100,204800,55.461000000000006
23,1,1,500,10485760,150,100,9437184,54.074
24,1,1,500,1073741824,1,1,204800,0.043
25,1,1,500,1073741824,1,1,9437184,0.043
26,1,1,500,1073741824,1,100,204800,4.553
27,1,1,500,1073741824,1,100,9437184,4.54
28,1,1,500,1073741824,150,1,204800,1.067
29,1,1,500,1073741824,150,1,9437184,1.031
30,1,1,500,1073741824,150,100,204800,93.73899999999999
31,1,1,500,1073741824,150,100,9437184,78.77
32,1,8,10,10485760,1,1,204800,0.102
33,1,8,10,10485760,1,1,9437184,0.098
34,1,8,10,10485760,1,100,204800,9.968
35,1,8,10,10485760,1,100,9437184,9.762
36,1,8,10,10485760,150,1,204800,14.629000000000001
37,1,8,10,10485760,150,1,9437184,14.655
38,1,8,10,10485760,150,100,204800,388.04699999999997
39,1,8,10,10485760,150,100,9437184,875.567
40,1,8,10,1073741824,1,1,204800,0.113
41,1,8,10,1073741824,1,1,9437184,0.105
42,1,8,10,1073741824,1,100,204800,10.485
43,1,8,10,1073741824,1,100,9437184,10.578
44,1,8,10,1073741824,150,1,204800,14.709000000000001
45,1,8,10,1073741824,150,1,9437184,14.624
46,1,8,10,1073741824,150,100,204800,160.41299999999998
47,1,8,10,1073741824,150,100,9437184,421.80300000000005
48,1,8,500,10485760,1,1,204800,0.027000000000000003
49,1,8,500,10485760,1,1,9437184,0.027000000000000003
50,1,8,500,10485760,1,100,204800,2.924
51,1,8,500,10485760,1,100,9437184,2.838
52,1,8,500,10485760,150,1,204800,0.62
53,1,8,500,10485760,150,1,9437184,0.602
54,1,8,500,10485760,150,100,204800,50.363
55,1,8,500,10485760,150,100,9437184,51.001999999999995
56,1,8,500,1073741824,1,1,204800,0.044000000000000004
57,1,8,500,1073741824,1,1,9437184,0.043
58,1,8,500,1073741824,1,100,204800,4.646
59,1,8,500,1073741824,1,100,9437184,4.418
60,1,8,500,1073741824,150,1,204800,1.048
61,1,8,500,1073741824,150,1,9437184,1.043
62,1,8,500,1073741824,150,100,204800,87.73299999999999
63,1,8,500,1073741824,150,100,9437184,82.69
64,4,1,10,10485760,1,1,204800,0.10099999999999999
65,4,1,10,10485760,1,1,9437184,0.098
66,4,1,10,10485760,1,100,204800,9.902000000000001
67,4,1,10,10485760,1,100,9437184,9.807
68,4,1,10,10485760,150,1,204800,14.623
69,4,1,10,10485760,150,1,9437184,14.644
70,4,1,10,10485760,150,100,204800,903.3689999999999
71,4,1,10,10485760,150,100,9437184,124.83
72,4,1,10,1073741824,1,1,204800,0.11
73,4,1,10,1073741824,1,1,9437184,0.10800000000000001
74,4,1,10,1073741824,1,100,204800,11.55
75,4,1,10,1073741824,1,100,9437184,10.817
76,4,1,10,1073741824,150,1,204800,14.644
77,4,1,10,1073741824,150,1,9437184,14.747
78,4,1,10,1073741824,150,100,204800,254.43
79,4,1,10,1073741824,150,100,9437184,322.824
80,4,1,500,10485760,1,1,204800,0.027000000000000003
81,4,1,500,10485760,1,1,9437184,0.027000000000000003
82,4,1,500,10485760,1,100,204800,2.9539999999999997
83,4,1,500,10485760,1,100,9437184,2.9539999999999997
84,4,1,500,10485760,150,1,204800,0.618
85,4,1,500,10485760,150,1,9437184,0.601
86,4,1,500,10485760,150,100,204800,50.356
87,4,1,500,10485760,150,100,9437184,47.76
88,4,1,500,1073741824,1,1,204800,0.043
89,4,1,500,1073741824,1,1,9437184,0.043
90,4,1,500,1073741824,1,100,204800,4.497
91,4,1,500,1073741824,1,100,9437184,4.527
92,4,1,500,1073741824,150,1,204800,1.073
93,4,1,500,1073741824,150,1,9437184,1.013
94,4,1,500,1073741824,150,100,204800,82.38600000000001
95,4,1,500,1073741824,150,100,9437184,91.087
96,4,8,10,10485760,1,1,204800,0.10099999999999999
97,4,8,10,10485760,1,1,9437184,0.099
98,4,8,10,10485760,1,100,204800,9.918
99,4,8,10,10485760,1,100,9437184,9.758
100,4,8,10,10485760,150,1,204800,14.91
101,4,8,10,10485760,150,1,9437184,14.642999999999999
102,4,8,10,10485760,150,100,204800,897.1439999999999
103,4,8,10,10485760,150,100,9437184,1150.096
104,4,8,10,1073741824,1,1,204800,0.11900000000000001
105,4,8,10,1073741824,1,1,9437184,0.107
106,4,8,10,1073741824,1,100,204800,10.365
107,4,8,10,1073741824,1,100,9437184,11.324000000000002
108,4,8,10,1073741824,150,1,204800,14.623
109,4,8,10,1073741824,150,1,9437184,14.624
110,4,8,10,1073741824,150,100,204800,531.964
111,4,8,10,1073741824,150,100,9437184,840.073
112,4,8,500,10485760,1,1,204800,0.027000000000000003
113,4,8,500,10485760,1,1,9437184,0.027000000000000003
114,4,8,500,10485760,1,100,204800,2.965
115,4,8,500,10485760,1,100,9437184,2.912
116,4,8,500,10485760,150,1,204800,0.618
117,4,8,500,10485760,150,1,9437184,0.615
118,4,8,500,10485760,150,100,204800,47.878
119,4,8,500,10485760,150,100,9437184,54.675
120,4,8,500,1073741824,1,1,204800,0.043
121,4,8,500,1073741824,1,1,9437184,0.04
122,4,8,500,1073741824,1,100,204800,4.426
123,4,8,500,1073741824,1,100,9437184,4.38
124,4,8,500,1073741824,150,1,204800,1.062
125,4,8,500,1073741824,150,1,9437184,0.996
126,4,8,500,1073741824,150,100,204800,77.732
127,4,8,500,1073741824,150,100,9437184,87.62799999999999
128,1,1,255,10485760,76,51,204800,16.459
129,1,1,255,10485760,76,51,9437184,16.33
130,1,1,255,1073741824,76,51,204800,25.26
131,1,1,255,1073741824,76,51,9437184,24.666999999999998
132,1,8,255,10485760,76,51,204800,16.042
133,1,8,255,10485760,76,51,9437184,16.439
